Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
4,Challenging and a learning experienced which is a value added for job progression,A typical day at NTUC as a Designer is comprised of designing and generating working drawings for approved new upcoming supermarket We will have department meeting for an overview of the ongoing projects to give ideas on how to improve working capacities to problem solves issues like on the administrative side as well as problematic technical matters Designer will also conduct project meeting with the internal and external parties for sharing of important information During the ongoing project Designer has to monitored and coordinated the work on site for smooth flowing The management will keep in touch with all the other departments involve to have a meet up once a week and the Head of Department will address some important issues or for employee bonding session Its a very accommodating and conducive working place for anyone who wants to strike a balance of work and life practice,nan,nan,Designer Senior Executive,Former Employee,Singapore,31/05/2017
3,NTUC retail assistant,I was assigned as retail assistant to earn my monthly allowance to support myself during my schooling days My jobs mainly replenish goods and assist the customer,nan,nan,Assigned as Retail Assistant,Former Employee,Singapore,25/05/2017
5,Retails packer or store,Im Rafy Im 21 yeasr oldi have a lot of experience but retail is my best part I can work if people guide me Im realy need to workfor support my family And i work be positif,nan,nan,Retail Assistant,Current Employee,Serangoon Garden Estate,12/5/2017
5,Working life as a Retail Assistant,Over the years I learned to better multitask and organise my work Our typical day at work includes forwarding and replenishing of goods before waiting for new stocks to arrive on certain days i will have to do ordering of stocks to be arrived for the next day During my spare time i will do the checking of expiry of goods Fortunately for us our outlet branch manager is okay Hence there is not much issues with the management here The working culture here emphasises on working together as a team and always helping one another The hardest part of this job is attending to difficult customers however that being said i still find the joy while doing my job as i get to interact to customers and having small conversations with them The best part of all is seeing those smiles and thank you when i go the extra mile attending to customers needs,nan,nan,Retail Assistant,Current Employee,Katong V Mall,25/04/2017
5,Productive,Fun to work with the aunties at Khatib Fairprice They are welcoming Friendly and easy to work with Welfare and safety are always the priority whilst working there,nan,nan,Sales Assistant,Former Employee,Khatib Central,4/4/2017
3,Repetitive job,As a part time cashier theres nothing more to it Just repetitive scanning of items asking customers for their membership card etc It would be difficult to be a fulltimer due to long standing hours,nan,nan,Part Time Cashier,Current Employee,Singapore,1/3/2017
2,Hard working,I have learnt hw to put the product at shelves I have learnt how to check expire date I know hw to check the items Be confident,nan,nan,Sales Assistant,Current Employee,Tampines,28/02/2017
4,Still working fine,Working at my part time job at NTUC as a cashier is still alright The working hours is by shift which is good The management is very friendly at the outlet I worked at The hardest part of the job probably would be to handle the long queue of customer flow We need to be quick and precise at times Settling customers doubt on products etc But it is still a good job which gets me permanent salary flow as i only able to commit weekends during schooling days,nan,nan,Cashier,Current Employee,Choa Chu Kang,14/02/2017
4,fun workplace,Its something new Good experience Get to know new people The team was helpful and friendly Got to learn how to handle situation with different people,nan,nan,Retail Assistant,Former Employee,Bukit Merah,1/2/2017
5,Best and fun workplace,Best salary and also like very much my cashier work And good guideness Best high bonuses Very professional and good challenges in the work,nan,nan,Cashier,Former Employee,Bishan j8,22/01/2017
