Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
3,Claim Associate,nan,There is a Good teamwork colleague,There is Alot of OT,Claim Associate,Former Employee,nan,26/10/2022
3,Great Colleagues but some bosses are just bosses,nan,Great Colleagues and strong camaraderie And people are willing to help each other when things are tough,but some of the senior management are only bosses and not leaders,Assistant Principal Engineer,Current Employee,nan,18/09/2022
3,Organization,nan,Senior management are supportive and willing to hear from ground,Minority from peers and team playing politics while management do not see and rectify it,Principal Engineer,Former Employee,Ang Mo Kio New Town,07/10/2022
3,Comfortable Workplace,nan,Your dream workplace to retire to,Many army retirees seeking refuge here with salary higher than those that had contributed many years,Design amp Development Engineer,Current Employee,nan,14/10/2022
4,Improving to change its image,nan,Senior leadership is mostly forward thinking and happy to embrace new ideas,Middle level managers and a token few of senior leadership prefer to do things their way senior leaderships vision doesnt follow through,Anonymous Employee,Current Employee,nan,16/09/2022
3,Just review,nan,Stable and tons on experience learn,Too much on the plate,Senior Engineer,Current Employee,nan,25/10/2022
1,Dont,nan,Stable Get to leave on time on most days,Erratic senior management Prefer to hire externally than promote internally High attrition rate No replacement,Business Development Executive,Current Employee,Singapore,06/10/2022
3,Good,nan,Good place to work in,Can improve the salary package,Executive,Former Employee,nan,25/10/2022
5,Flexible,nan,Friendly and Flexible environment to work,Huge projects low time estimations with no proper planning,Anonymous Employee,Former Employee,nan,18/10/2022
3,Good,nan,Nice team to work with,Long hours for my shift,IT Help Desk,Former Employee,nan,25/10/2022
1,Bad management,nan,You get lousy pay for more work,Getting exploited working for long hours Boss complaining did not OT enough even though its after 10pm and didnt have any dinner before this 50 dollars increment per year Micromanagement at its best,Anonymous Employee,Former Employee,Singapore,03/10/2022
4,Good stepping stone,nan,Good place to learn and pick up idea of systems,Staffs lack knowledge with insufficient training,Systems Engineer,Current Employee,nan,04/10/2022
