Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
50,Amazing culture great people fun place to work at,Netflix cs was one of my best jobs I’ve ever had Awesome culture and the people there are amazing Pay was good and the job itself wasn’t bad Overall it was a fun place to work at,Benefits people management swag room for advancement,When Netflix cs sold out to another company not enough between time,Customer Service Representative,Former Employee,Salt Lake City UT,December 23 2020
30,Great pay cutthroat environment,Great pay no job security People don’t like to share job duties in an effort to protect their own jobs Way too much time wasted in endless meetings,nan,nan,Public policy,Former Employee,Los Angeles CA,November 18 2020
50,great place to work,Work and culture is good Interesting work Benefits are good Inclusive If you can learn on your own and confident on skill sets it is great place to work,nan,nan,Engineer,Current Employee,Los Gatos CA,October 16 2020
40,Nice international atmosphere,Sweet and simple recruiting process online assessmentvideo interview Initial training in the first few days then off to work It is a nice company and you are somewhat free to handle the customer calls unlike most call centres where you feel like a robot Working in shifts but rooster provided in advance and you can always trade shifts with a willing colleague,nan,nan,Customer Service Representative,Former Employee,Amsterdam,October 15 2020
10,Unreasonable,I have never worked for a company that showed so little care about its employees I had to deal with 2 trainers neither knowing how to do the job they are training you for Most questions are always ignored as your told to look it up Often times if you struggle or need any explanation during training you will get ignored completely Half the time you are working if you need a supervisor or lead to assist in a case youll end up waiting 20 minutes just to get a response They fired me because I left work halfway through the day after clearly showing I was too ill to perform my duties that day Because half a day is more important than my health never work for this company they do not care about you and will drop you like a fly the moment you arent a top performing model employee with near perfect health and immunity to all disease,nan,nan,CSR,Former Employee,Mesa AZ,September 16 2020
50,Productive fun work place enviorment,I love my job here its so much fun and everyone is so nice and talented everyone helps out amd communicates very well Over all i love my jobThere are lovely people to work with all the time,nan,nan,Film Editor and movie Producer,Current Employee,Houston TX,September 8 2020
10,The worst company culture I’ve ever experienced,If you have any anxiety or need for accommodation do not work here Managers only care about their numbers and they will fire you without chance of improvement,nan,nan,Customer Service Representative,Former Employee,Salt Lake City UT,July 24 2020
50,Great atmosphere,Good company environment to those in the geekdom fans You will find a group you can belong to The hours were set but you could change them if needed,nan,nan,Customer Service Representative,Former Employee,Salt Lake City UT,July 20 2020
50,Actually a cool and relaxed ambiance work environment without any pressure,Very cool company to work for only a bit lack of flexibility as in workschedule but hopefully theres been some changes since I have left anway I am very grateful for the experience,nan,nan,CSR1,Former Employee,Amsterdam Sloterdijk,July 6 2020
40,Challenging and fun,I worked as a BTS and Promo Producer on the TV Show YOU CANNOT HIDE It was very hard and a lot of hours but definitely worth the experience It was challenging sometimes very hard but very motivated and I learned a lot I had the opportunity to work with an outstanding crew and had a lot of fun too I recommend working with Netflix,nan,nan,videographer,Former Employee,MADRID,April 30 2020
40,Very Fun Work Environment,Netflix was one of the most enjoyable jobs Ive ever held The culture is all inclusive and encourages self expression The only complaint I had was that the hours could tend to be terribly inconvenient Overall a better than average job,nan,nan,Customer Service 247 Intouch,Former Employee,Clearwater FL,April 26 2020
30,Productive and fun place,Netflix is the worlds leading streaming entertainment service with 183 million paid memberships in over 190 countries enjoying TV series documentaries and feature films across a wide variety of genres and languages Members can watch as much as they want anytime anywhere on any internetconnected screen Members can play pause and resume watching all without adverts or commitments,nan,nan,Simplified Chinese Language Lead Freelancer,Former Employee,Los Gatos CA,April 24 2020
50,Amazing work style,At Netflix you dont have to worry at all Work life is simple and sweet All you have to do is work and chill Yes just work time to time and rest Netflix is the best,nan,nan,Netflix CS,Former Employee,Navi Mumbai Maharashtra,April 19 2020
40,Highly competitive,Lots of amenities and free food Highly competitive environment Hard to balance personal life work Even though youre supposed to be able to take vacations freely its actually not that easy Netflix culture is taken very seriously,nan,nan,MANAGER PHYSICAL PRODUCTION,Former Employee,Los Angeles CA,April 11 2020
40,Fun people with tough task,People are fantastic to work with Management was okay workload was sometimes overwhelming but I cant complain because my task as an assistant was far less easier compare to my superior and coordinator who stayed over time a lot to cover the work Work life balance was fair enough with 10 hours mandatory work in Australia,nan,nan,Graphic Design Intern,Former Employee,Melbourne VIC,April 10 2020
50,productive and fun workplace,This work in Swansea gave me a valuable insight into the film making process I gained many key skills and enjoyed the overall process of working with Netflix,nan,nan,Extra,Former Employee,Swansea Swansea,April 3 2020
40,Team work was good and the bad about Netflix was never offering more of myself,I enjoyed the position and Netflix employee were friendly and helpful Netflix security were a group of well prepared individuals All in all Netflix is a well established organization with plenty of growth,nan,nan,NETFLIX SECURITY,Current Employee,West Hollywood CA,March 24 2020
50,Incredible experience,Working for these organizations is a joy and privilege They created wonderful memories and a fantastic career highlight I cant wait to get back once all this Covid stuff goes away,nan,nan,Actor,Former Employee,Various,March 23 2020
50,productive,Really enjoyed this worked really well as a team together The workload is big but feel rewarded at the end of the day Everyone shares a great work ethic and gets the job done,nan,nan,prop man,Former Employee,London Greater London,March 21 2020
50,Very professional company to work for,I worked for netflix on CURSED for 10 months and found them to be a caring and professional company The production team were always helpful and willing to listen to any issues thatthat arosearise,nan,nan,Transport Captain,Former Employee,Langley studiosslough,March 20 2020
