Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
20,Have a backup plan,,Many of the people who work here are top performers Many companies say they only hire the best yet it feels more consistent here High bar to get in Free snacks and flexible time,Management can and will fire you for any reason they want Dont make the mistake thinking it can only be performance related There are no guidelines to how long it takes to terminate you Before you know a pink slip may be handed to you I saw people get fired without anyone understanding why Corporate culture wants people who strive to make the company better Most are simply yesmen to keep their high salary job Not very diverse Walk around campus for 5 minutes and its clear the demographic they target,Anonymous Employee,Former Employee,Los Gatos CA,Feb 10 2016
10,The Culture Deck is a lie,,Being a part of the fastest and largest Growing streaming companies in the world Inside view on how decision in TV are made Pay is the top of the industry,The culture deck that they push so heavily only applies to those who aren’t of color If you’re a person of color you’ll feel like a complete fish out of water and as if you were there to just meet a quota Your ideas and concerns will never be heard or taken seriously High school clique feel Very sucky energy and stares,Manager,Current Employee,Los Angeles CA,Dec 25 2018
50,Culture Deck Is Real,,Being part of an innovative and transparent company has kept me working here for several years Not only do I love what I do but what keeps me here is the environment We live out the culture deck Politics do not prohibit me from doing my job or speaking out when I have a recommendation on what could be better Collaboration is encouraged and its easy to do when you have highperforming peers and understanding managers,None to reference at this time,Content Operations Manager,Current Employee,Beverly Hills CA,Nov 13 2014
30,Who really is watching,,Great benefits Competitive pay Flexible schedule for the most part Tons of Netflix swag Free Netflix membership Game room Food at a very affordable price,1 They either like you or they don’t You HAVE to play work politics and meet as many upper level managers as possible Your numbers your adaption to their “culture” and your prior work experience DO NOT matter when it comes to growth within the company 2 You can’t get up and use the bathroom Your breaks and lunches can be moved around if approved by WFM so they tell you to move your break up so you can get up and use the bathroom You literally have to fill out HR accommodation forms to have certain privileges such as bathroom use 3 You had an emergency If you have the emergency hours to cover it GREAT But if you don’t expect to be put on probation or fired the next time you walk in They expect you to PTO 24 hours before and it’s like they wanted you to anticipate the emergency 24 hours before 4 Coaching is a joke Literally the sups ask us what WE want to work on What we thought of our own performance and place those ideas into our action plan My question is aren’t the sups suppose to know the problems Aren’t they suppose to be the ones prepared for the meeting and have a course of action It feels like I’m doing their job and they just say “great idea let me write this down and submit it” They will ALWAYS tell you what you are doing wrong but unless upper management makes a comment about moral being down they will never compliment you 5 Utah is a right to work state In plain English it means the company doesn’t need to have a reason to fire you hence why a lot of other big companies place their call centers here This law allows some employers to abuse the stability of employees and base their decisions on emotions instead performance,Customer Service Representative,Current Employee,Salt Lake City UT,Feb 27 2018
50,Best job I have ever had,,Excellent environment for smart and motivated SW devs Very little politics Technology leader Very focused on streaming video on demand Value smart devs not 247 heros Tremendous opportunity to influence video and entertainment industries,If you are a taskoriented dev if you need an architect or manager to give you a list of deliverables you will not do well at Netflix If you are a controlfreak you will not do well,Director of Engineering,Current Employee,Los Gatos CA,Dec 9 2014
50,Love what you do,,Smart passionate fun loving colleagues that keep the mood light and and the pace fast Flat organizations rule Great facilities clean professional uncluttered with plenty of space and sunshine A place where forgiveness is valued over permission A place where take risks and recover quickly is lived every day Customers are raving fans of our product,If you have an ego or want to climb the corporate ladder this is not for you,Engineering Director,Current Employee,Los Gatos CA,Nov 17 2008
10,DO NOT WORK FOR NETFLIX,,If you want a free subscription then go for it,If there were 25 hours in a day Netflix would expect you to work all 25 They could care less about you as a person and they DO NOT hold to their core values of honesty and integrity People are promoted based on political connection rather than real ability There are no congratulations for a job well done but plenty of abuse when things arent done to perfection There are no SOPs for processes and procedures but Regional Managers and Regional Directors will criticize for not doing it right It was my worst experience of my professional career,Operations Manager,Former Employee,Saint Louis MO,Apr 3 2009
20,Training is fun but then the real nightmare starts,,Free food handed out a lot casual dress code lots of people in their 20s that you can relate to,Very confusing attendance policy If youre not a permanent employee yet basically you miss a day or two theyll fire you Very little support from upper management when dealing with customers Impossible sometimes to get assistance with problems though they advise that you get their help when needed I was so stressed from continuously being threatened by my supervisor that I might lose my job I couldnt stand it If you want to have any sort of healthy work environment dont work here,Netflix Customer Service Representative,Former Employee,Hillsboro OR,Jul 31 2012
50,Amazing place to work,,It’s difficult to list all the pros honestly but here’s a few outstanding colleagues outstanding perks pay everyone is open and willing to share their work and knowledge great cross department and team collaboration I’ve been here for a while now and the honey moon stage still hasn’t worn off I’d say a lot of the negative reviews are customer service related and they’re not a good indicator of our corporate environment,There are no cons to working here I realize it’s a per department and per org opinion but from my experiences there have been no cons,Anonymous Employee,Current Employee,nan,Oct 7 2017
20,Reed between the lines,,Liberal time off policyoh wait youre so overworked you dont have time to take advantage of it Casual dress code,Horrible communication from upper management and they are fully aware of this Lack of growth potential In fact many employees are told during the interview process that they are expected to leave within a few years as there is no where for them to go Understaffed and overworked but this is excused by being referred to as a part of the internet culture,Manager,Former Employee,Los Angeles CA,Dec 30 2008
